Facility_ID,State,Facility_Type,Ownership,Year_Established,Number_of_Staff,Number_of_Patients_Annually,Primary_Issue_Treated,Service_Provided,Satisfaction_Rating,Average_Cost_Per_Visit_USD,Contact_Email,Phone_Number,Zip_Code,Accredited,Emergency_Services,Website,Insurance_Accepted,Rating_Category,Has_Parking,Open_24_Hours,Languages_Supported,State_Code,Facility_Code,Admin_Name,Yearly_Budget_USD
22,California,Community Health Center,Private,1950,399.0,1604,OCD,Telehealth,4.92,159.33,,555 123 4567,33101,Y,Yes,www.mhc.org,,High,No,N/A,Spanish,CA,FC-00022,,17326080.722569954
23,Michigan,Rehabilitation Center,Private,2021,116.0,3408,PTSD,Counseling,3.6,458.76,contact@clinic.net,(123) 456-7890,,No,,,Medicaid,High,False,24/7,Spanish,MI,FC-00023,Prof. Adams,4127467.226553337
24,Ohio,Psychiatric Hospital,Public,1987,354.0,7217,Schizophrenia,Inpatient,3.97,91.9,contact@clinic.net,(123) 456-7890,90210,Yes,no,mhc.net,Private,High,False,,Spanish,OH,FC-00024,,8383137.92680118
25,North Carolina,Psychiatric Hospital,Non-Profit,1955,304.0,5148,Anxiety,Outpatient,1.13,260.66,,(123) 456-7890,60601,N,,https://clinic.com,None,Low,,N/A,"English, Spanish",NO,FC-00025,Dr. Lee,4472535.710903041
26,California,Private Clinic,Public,1974,378.0,8363,Schizophrenia,Telehealth,1.49,449.39,,(123) 456-7890,33101,No,,,Medicare,Low,True,24/7,Spanish,CA,FC-00026,Jane Smith,5163369.583794597
27,Michigan,Telehealth Provider,Public,1966,453.0,1790,Anxiety,Telehealth,3.53,338.57,info@mhc.org,555 123 4567,33101,No,Yes,https://clinic.com,Private,High,Yes,N/A,"English, Spanish",MI,FC-00027,,10609519.950957289
28,New York,Psychiatric Hospital,Non-Profit,2010,293.0,9636,Depression,Inpatient,4.6,236.14,info@mhc.org,,10001,No,no,www.mhc.org,Private,High,False,Yes,Spanish,NE,FC-00028,John Doe,4574807.920255497
29,Pennsylvania,Telehealth Provider,Non-Profit,1961,362.0,3403,Anxiety,Counseling,3.49,181.77,info@mhc.org,,10001,N,,http://healthcare.gov,,Medium,No,24/7,,PE,FC-00029,Jane Smith,7496445.09296198
30,Florida,Psychiatric Hospital,Private,1955,191.0,3213,Depression,Outpatient,1.54,218.79,support@health.com,(123) 456-7890,90210,,no,mhc.net,Private,Low,True,No,,FL,FC-00030,,2314582.31544812
31,North Carolina,Community Health Center,Non-Profit,1976,46.0,9174,Depression,Telehealth,,279.02,,987-654-3210,10001,Y,yes,,,,Yes,N/A,English,NO,FC-00031,,1554815.4959219259
32,New York,Rehabilitation Center,Private,1957,146.0,7950,Anxiety,Outpatient,4.38,193.57,contact@clinic.net,555 123 4567,60601,,YES,mhc.net,Medicare,High,Yes,No,Spanish,NE,FC-00032,Jane Smith,2308412.523010218
33,Illinois,Psychiatric Hospital,Private,2014,,6516,OCD,Telehealth,1.56,486.04,,,60601,Yes,,https://clinic.com,Medicaid,Low,Yes,24/7,English,IL,FC-00033,Prof. Adams,
34,New York,Telehealth Provider,Private,2006,65.0,1604,Bipolar Disorder,Counseling,3.08,469.88,contact@clinic.net,(123) 456-7890,60601,Y,,https://clinic.com,Medicaid,Medium,Yes,N/A,"English, Spanish",NE,FC-00034,John Doe,1217254.9383227276
35,Pennsylvania,Community Health Center,Non-Profit,1989,196.0,9024,Anxiety,Telehealth,1.15,441.8,support@health.com,987-654-3210,,Yes,no,http://healthcare.gov,None,Low,,No,English,PE,FC-00035,Jane Smith,8216136.382011377
36,Illinois,Psychiatric Hospital,Public,1963,350.0,4024,PTSD,Telehealth,1.32,239.82,,987-654-3210,60601,N,YES,https://clinic.com,None,Low,Yes,,Spanish,IL,FC-00036,John Doe,6158347.807162148
37,North Carolina,Private Clinic,Private,1984,267.0,8715,OCD,Emergency,3.69,361.09,contact@clinic.net,(123) 456-7890,10001,,yes,http://healthcare.gov,Medicare,High,True,,"English, Spanish",NO,FC-00037,John Doe,10374194.90032987
38,Pennsylvania,Rehabilitation Center,Public,1997,454.0,9883,OCD,Counseling,3.76,456.27,contact@clinic.net,555 123 4567,10001,No,,,Medicaid,High,False,Yes,"English, Spanish",PE,FC-00038,Jane Smith,10588636.181993583
39,Texas,Psychiatric Hospital,Public,2005,67.0,4585,PTSD,Inpatient,,432.69,info@mhc.org,,60601,Y,Yes,http://healthcare.gov,None,,True,24/7,,TE,FC-00039,,2232761.5863025426
40,Florida,Community Health Center,Non-Profit,1998,372.0,8200,Bipolar Disorder,Inpatient,1.86,236.45,support@health.com,987-654-3210,33101,No,no,https://clinic.com,Private,Low,No,No,"English, Spanish",FL,FC-00040,Prof. Adams,4295287.797107468
41,North Carolina,Private Clinic,Public,1962,132.0,8784,OCD,Counseling,4.25,100.57,,,33101,Yes,no,www.mhc.org,,High,,Yes,"English, Spanish",NO,FC-00041,John Doe,3934890.6133904792
42,Texas,Community Health Center,Public,2010,197.0,291,Depression,Inpatient,1.87,84.03,info@mhc.org,,33101,No,,http://healthcare.gov,None,Low,,24/7,English,TE,FC-00042,John Doe,3141660.610252258
43,Michigan,Community Health Center,Non-Profit,1998,239.0,8790,Bipolar Disorder,Counseling,3.17,309.68,support@health.com,987-654-3210,90210,No,yes,mhc.net,Medicare,Medium,No,,Hindi,MI,FC-00043,,7039221.3725006925
44,North Carolina,Private Clinic,Private,1995,177.0,5017,PTSD,Inpatient,4.87,339.18,info@mhc.org,(123) 456-7890,,N,,www.mhc.org,Medicaid,High,True,No,"English, Spanish",NO,FC-00044,Jane Smith,2770822.64667394
45,Michigan,Community Health Center,Public,2011,429.0,5931,Bipolar Disorder,Emergency,1.59,432.43,,987-654-3210,60601,N,No,http://healthcare.gov,Medicare,Low,True,N/A,Mandarin,MI,FC-00045,Prof. Adams,11790449.301591605
46,Illinois,Private Clinic,Non-Profit,1957,,9548,Anxiety,Inpatient,4.76,181.63,contact@clinic.net,987-654-3210,90210,,,mhc.net,,High,No,,Hindi,IL,FC-00046,John Doe,
47,Texas,Psychiatric Hospital,Public,1992,261.0,4422,Bipolar Disorder,Telehealth,1.73,125.36,,555 123 4567,33101,Yes,YES,www.mhc.org,,Low,Yes,N/A,,TE,FC-00047,John Doe,4906293.845146048
48,Florida,Private Clinic,Public,1969,116.0,7099,Depression,Counseling,3.27,220.55,support@health.com,,60601,N,YES,http://healthcare.gov,Medicare,Medium,Yes,N/A,,FL,FC-00048,Jane Smith,3921166.2607378857
49,Pennsylvania,Private Clinic,Private,1988,46.0,9108,Anxiety,Outpatient,,209.11,,(123) 456-7890,90210,N,No,,None,,False,No,"English, Spanish",PE,FC-00049,,2257055.5724666617
50,Georgia,Rehabilitation Center,Public,1998,344.0,7382,Schizophrenia,Outpatient,4.86,109.61,support@health.com,,10001,,YES,mhc.net,None,High,True,No,English,GE,FC-00050,Dr. Lee,9620782.413073534
51,New York,Private Clinic,Non-Profit,2013,101.0,9765,PTSD,Counseling,2.09,352.53,info@mhc.org,987-654-3210,33101,Y,YES,,Medicaid,Medium,True,N/A,Hindi,NE,FC-00051,,3786181.7181423903
52,California,Private Clinic,Public,2011,27.0,9378,PTSD,Emergency,2.6,278.91,support@health.com,(123) 456-7890,90210,,Yes,https://clinic.com,Medicaid,Medium,No,Yes,,CA,FC-00052,John Doe,852578.6447279252
53,Florida,Psychiatric Hospital,Private,2003,363.0,1974,Bipolar Disorder,Inpatient,4.93,374.51,contact@clinic.net,(123) 456-7890,10001,No,no,http://healthcare.gov,Private,High,No,N/A,,FL,FC-00053,John Doe,10866157.205955235
54,Texas,Rehabilitation Center,Private,1958,72.0,9162,OCD,Emergency,3.15,208.71,contact@clinic.net,(123) 456-7890,33101,No,YES,http://healthcare.gov,Private,Medium,Yes,N/A,Mandarin,TE,FC-00054,Prof. Adams,906348.0868987715
55,Georgia,Telehealth Provider,Non-Profit,1986,159.0,4863,Anxiety,Outpatient,3.01,196.57,contact@clinic.net,(123) 456-7890,,N,no,mhc.net,Medicaid,Medium,True,No,"English, Spanish",GE,FC-00055,,2507731.478470777
56,Florida,Psychiatric Hospital,Private,1998,148.0,8564,Schizophrenia,Counseling,2.03,262.66,info@mhc.org,555 123 4567,33101,N,yes,http://healthcare.gov,Private,Medium,True,24/7,Hindi,FL,FC-00056,Dr. Lee,6707701.757056799
57,Texas,Psychiatric Hospital,Public,1990,195.0,9321,Anxiety,Counseling,3.81,444.83,support@health.com,(123) 456-7890,,,,https://clinic.com,Medicare,High,,,,TE,FC-00057,Prof. Adams,5149281.657326066
58,Ohio,Telehealth Provider,Private,1966,194.0,1151,PTSD,Emergency,1.06,68.13,info@mhc.org,987-654-3210,,,Yes,http://healthcare.gov,None,Low,False,No,,OH,FC-00058,Dr. Lee,6707220.018297977
59,Ohio,Private Clinic,Non-Profit,1970,214.0,9865,Anxiety,Emergency,1.2,412.17,,555 123 4567,,Yes,No,www.mhc.org,Private,Low,False,Yes,,OH,FC-00059,Prof. Adams,6661676.472040044
60,Michigan,Community Health Center,Private,2000,269.0,7638,Schizophrenia,Inpatient,3.4,216.04,,987-654-3210,60601,No,yes,,Private,Medium,Yes,,,MI,FC-00060,,6766774.4039712865
61,Florida,Rehabilitation Center,Private,2008,223.0,7511,OCD,Telehealth,2.37,434.58,,987-654-3210,60601,,Yes,https://clinic.com,Medicare,Medium,True,No,English,FL,FC-00061,John Doe,5689323.560089506
62,Ohio,Community Health Center,Private,1988,265.0,6420,Bipolar Disorder,Telehealth,4.81,410.99,,,,Y,Yes,https://clinic.com,,High,,No,Spanish,OH,FC-00062,Dr. Lee,8537929.062631931
63,Texas,Telehealth Provider,Non-Profit,2004,144.0,2205,Depression,Inpatient,,206.94,contact@clinic.net,(123) 456-7890,10001,Yes,No,,Medicaid,,True,24/7,Mandarin,TE,FC-00063,,2252976.7765002833
64,Michigan,Psychiatric Hospital,Private,1990,70.0,407,Anxiety,Telehealth,3.85,362.24,support@health.com,(123) 456-7890,,,No,,Medicare,High,No,Yes,English,MI,FC-00064,Dr. Lee,1784325.3127124151
65,Texas,Psychiatric Hospital,Private,1988,372.0,7837,Depression,Outpatient,4.27,121.83,contact@clinic.net,987-654-3210,90210,N,no,https://clinic.com,,High,Yes,Yes,Mandarin,TE,FC-00065,,10370996.472712757
66,Michigan,Rehabilitation Center,Public,1962,319.0,3459,PTSD,Telehealth,3.67,453.33,support@health.com,(123) 456-7890,,,,,Medicare,High,False,No,,MI,FC-00066,Prof. Adams,15760210.614107344
67,Florida,Psychiatric Hospital,Non-Profit,2013,97.0,3276,Bipolar Disorder,Inpatient,1.5,232.02,support@health.com,555 123 4567,60601,N,yes,mhc.net,None,Low,True,24/7,Mandarin,FL,FC-00067,,2333644.504828585
68,Georgia,Psychiatric Hospital,Private,1960,333.0,1351,Bipolar Disorder,Telehealth,4.06,255.03,info@mhc.org,,60601,N,,,Medicare,High,Yes,No,"English, Spanish",GE,FC-00068,Prof. Adams,11915790.893133175
69,Pennsylvania,Rehabilitation Center,Non-Profit,1968,485.0,5466,Anxiety,Counseling,1.84,367.59,,(123) 456-7890,90210,No,yes,www.mhc.org,Medicare,Low,False,N/A,"English, Spanish",PE,FC-00069,John Doe,7515860.696633482
70,North Carolina,Rehabilitation Center,Private,1960,216.0,1617,OCD,Emergency,2.29,419.38,support@health.com,(123) 456-7890,90210,No,Yes,www.mhc.org,None,Medium,True,N/A,Spanish,NO,FC-00070,Prof. Adams,2725759.139013093
71,Georgia,Telehealth Provider,Private,1995,138.0,6326,Bipolar Disorder,Outpatient,4.28,156.35,,555 123 4567,33101,,YES,mhc.net,Medicaid,High,,24/7,Spanish,GE,FC-00071,Jane Smith,6190911.917286792
72,Illinois,Psychiatric Hospital,Private,1994,320.0,5405,Anxiety,Counseling,3.15,347.61,,,10001,,YES,,,Medium,Yes,No,Mandarin,IL,FC-00072,John Doe,12553406.750792786
73,Texas,Psychiatric Hospital,Public,1950,12.0,9670,Anxiety,Counseling,4.44,226.4,,555 123 4567,10001,Y,No,www.mhc.org,Private,High,True,24/7,English,TE,FC-00073,,272399.6580453932
74,Illinois,Telehealth Provider,Public,1989,471.0,5969,Depression,Inpatient,1.85,215.92,contact@clinic.net,987-654-3210,10001,Yes,No,http://healthcare.gov,Medicaid,Low,False,No,English,IL,FC-00074,,14216249.574583795
75,Georgia,Private Clinic,Public,1968,431.0,8139,Bipolar Disorder,Emergency,,360.51,,987-654-3210,60601,Yes,Yes,,Medicare,,False,No,,GE,FC-00075,Jane Smith,6650229.739949697
76,Michigan,Private Clinic,Non-Profit,2021,251.0,4991,Anxiety,Emergency,1.34,224.23,support@health.com,(123) 456-7890,10001,,Yes,mhc.net,Private,Low,,N/A,English,MI,FC-00076,,9609889.351567836
77,North Carolina,Private Clinic,Non-Profit,2021,130.0,5092,Depression,Outpatient,3.57,205.75,contact@clinic.net,,33101,No,yes,,None,High,Yes,,Spanish,NO,FC-00077,John Doe,1665719.0788546826
78,North Carolina,Telehealth Provider,Public,2010,394.0,2061,Schizophrenia,Inpatient,4.05,426.15,,987-654-3210,33101,Y,Yes,https://clinic.com,Medicaid,High,Yes,Yes,English,NO,FC-00078,John Doe,15870840.977393342
79,California,Psychiatric Hospital,Non-Profit,1961,111.0,2963,Depression,Outpatient,3.34,95.57,info@mhc.org,555 123 4567,10001,Yes,yes,https://clinic.com,,Medium,True,Yes,,CA,FC-00079,Prof. Adams,3537954.1055987403
80,North Carolina,Telehealth Provider,Private,2010,47.0,6703,Depression,Telehealth,2.06,354.15,,987-654-3210,90210,,,www.mhc.org,Medicaid,Medium,False,24/7,"English, Spanish",NO,FC-00080,Dr. Lee,994238.9965631177
81,Pennsylvania,Telehealth Provider,Private,1982,350.0,4667,Anxiety,Counseling,1.13,161.93,,987-654-3210,33101,No,No,https://clinic.com,Medicaid,Low,False,Yes,English,PE,FC-00081,,15576040.956860393
82,North Carolina,Private Clinic,Private,1994,422.0,6613,PTSD,Outpatient,1.48,56.97,contact@clinic.net,555 123 4567,90210,No,No,mhc.net,Private,Low,,N/A,English,NO,FC-00082,Jane Smith,20864893.17131986
83,Georgia,Community Health Center,Public,2018,142.0,4105,PTSD,Counseling,3.49,125.04,support@health.com,(123) 456-7890,60601,No,YES,www.mhc.org,None,Medium,,,Spanish,GE,FC-00083,John Doe,2864702.894802584
84,California,Psychiatric Hospital,Non-Profit,1957,211.0,9214,OCD,Inpatient,4.74,323.0,,,33101,N,YES,mhc.net,None,High,Yes,No,Mandarin,CA,FC-00084,John Doe,8914717.50250527
85,Georgia,Private Clinic,Public,1974,357.0,283,PTSD,Telehealth,1.83,369.11,contact@clinic.net,(123) 456-7890,90210,No,No,mhc.net,Medicaid,Low,False,No,"English, Spanish",GE,FC-00085,John Doe,14282374.99785581
86,Georgia,Community Health Center,Non-Profit,1995,30.0,7855,Depression,Inpatient,3.94,59.48,contact@clinic.net,555 123 4567,10001,,,https://clinic.com,None,High,True,N/A,Mandarin,GE,FC-00086,Dr. Lee,1196628.1453268034
87,New York,Community Health Center,Private,1979,251.0,3458,OCD,Telehealth,4.47,66.39,support@health.com,987-654-3210,60601,Y,,https://clinic.com,Private,High,No,Yes,,NE,FC-00087,Dr. Lee,12120645.539299635
88,California,Rehabilitation Center,Public,1996,464.0,6715,Anxiety,Telehealth,3.08,456.14,contact@clinic.net,,,,no,mhc.net,Private,Medium,True,No,,CA,FC-00088,,13671613.233124977
89,Georgia,Psychiatric Hospital,Non-Profit,1998,460.0,9690,Bipolar Disorder,Counseling,3.68,82.99,support@health.com,(123) 456-7890,,No,yes,https://clinic.com,,High,,Yes,Mandarin,GE,FC-00089,Jane Smith,17004691.946242448
90,New York,Community Health Center,Non-Profit,1996,118.0,6897,Depression,Inpatient,4.26,452.38,info@mhc.org,555 123 4567,10001,Y,YES,https://clinic.com,None,High,True,N/A,Spanish,NE,FC-00090,Dr. Lee,5068701.156313796
91,New York,Private Clinic,Private,1967,312.0,8828,Depression,Inpatient,2.04,152.67,,987-654-3210,60601,Yes,yes,https://clinic.com,,Medium,False,No,Hindi,NE,FC-00091,Prof. Adams,9104614.834136968
92,California,Rehabilitation Center,Public,2015,93.0,7778,OCD,Outpatient,,383.01,contact@clinic.net,987-654-3210,60601,Yes,YES,,Medicare,,Yes,24/7,Spanish,CA,FC-00092,Dr. Lee,2720924.074460662
93,Illinois,Psychiatric Hospital,Public,2017,92.0,5798,Anxiety,Inpatient,1.0,189.38,info@mhc.org,(123) 456-7890,60601,,no,mhc.net,Private,Low,No,,Hindi,IL,FC-00093,John Doe,2092649.4949678527
94,Michigan,Telehealth Provider,Public,1982,300.0,1373,Schizophrenia,Outpatient,,436.44,contact@clinic.net,555 123 4567,60601,Y,No,http://healthcare.gov,Medicaid,,Yes,Yes,Hindi,MI,FC-00094,Jane Smith,12369908.553925607
95,Pennsylvania,Private Clinic,Private,1985,461.0,6753,Depression,Emergency,4.67,365.2,contact@clinic.net,987-654-3210,,,yes,mhc.net,Private,High,No,Yes,Spanish,PE,FC-00095,,17263450.177401662
96,Michigan,Community Health Center,Public,1968,78.0,1196,Schizophrenia,Emergency,4.06,230.82,info@mhc.org,987-654-3210,90210,Y,YES,www.mhc.org,Medicare,High,No,Yes,Hindi,MI,FC-00096,Dr. Lee,2187556.486443276
97,North Carolina,Community Health Center,Private,1977,138.0,9597,Schizophrenia,Emergency,1.32,84.34,contact@clinic.net,,60601,Y,yes,https://clinic.com,Medicaid,Low,False,Yes,Hindi,NO,FC-00097,John Doe,3694738.3488410264
98,Pennsylvania,Private Clinic,Private,1989,205.0,9207,PTSD,Inpatient,2.79,379.72,contact@clinic.net,987-654-3210,90210,,No,https://clinic.com,None,Medium,False,N/A,Hindi,PE,FC-00098,Prof. Adams,2645235.073986773
99,North Carolina,Community Health Center,Private,1964,149.0,8102,Anxiety,Inpatient,1.41,327.6,info@mhc.org,(123) 456-7890,60601,Y,Yes,http://healthcare.gov,None,Low,,N/A,"English, Spanish",NO,FC-00099,Prof. Adams,1528746.8350973562
100,Georgia,Rehabilitation Center,Non-Profit,1990,453.0,4347,Schizophrenia,Outpatient,1.06,51.31,contact@clinic.net,555 123 4567,33101,No,YES,www.mhc.org,Private,Low,,N/A,,GE,FC-00100,,14113558.673557002
101,Texas,Psychiatric Hospital,Public,1988,292.0,9320,Anxiety,Telehealth,3.46,54.24,support@health.com,555 123 4567,33101,Y,Yes,,Medicaid,Medium,No,N/A,Hindi,TE,FC-00101,,7796316.515466683
102,California,Rehabilitation Center,Public,1951,,5414,PTSD,Outpatient,4.84,413.96,contact@clinic.net,,33101,Y,no,mhc.net,Medicaid,High,,No,,CA,FC-00102,Dr. Lee,
103,Pennsylvania,Community Health Center,Private,2012,243.0,3454,Anxiety,Emergency,4.61,166.73,,555 123 4567,60601,,,,,High,False,N/A,,PE,FC-00103,,7704597.427305221
104,Pennsylvania,Telehealth Provider,Private,1978,,370,Depression,Outpatient,3.79,336.26,contact@clinic.net,(123) 456-7890,90210,Yes,yes,www.mhc.org,Medicare,High,,No,"English, Spanish",PE,FC-00104,John Doe,
105,Georgia,Psychiatric Hospital,Public,2015,162.0,1286,Schizophrenia,Telehealth,1.39,254.4,,987-654-3210,,N,YES,http://healthcare.gov,None,Low,No,24/7,,GE,FC-00105,John Doe,2890992.3766192705
106,Illinois,Psychiatric Hospital,Private,2000,286.0,6405,Anxiety,Inpatient,2.1,438.54,,,10001,Y,yes,www.mhc.org,Private,Medium,Yes,N/A,Mandarin,IL,FC-00106,John Doe,14187319.894004855
107,New York,Private Clinic,Public,1959,70.0,2498,Bipolar Disorder,Outpatient,2.28,462.63,contact@clinic.net,555 123 4567,,N,no,http://healthcare.gov,Medicaid,Medium,True,24/7,English,NE,FC-00107,Dr. Lee,1534173.7440738978
108,Georgia,Private Clinic,Non-Profit,1963,328.0,7095,Anxiety,Emergency,4.05,498.56,info@mhc.org,,60601,Y,no,,None,High,,N/A,"English, Spanish",GE,FC-00108,Dr. Lee,11708602.533281773
109,Ohio,Telehealth Provider,Private,2000,387.0,7399,Schizophrenia,Emergency,4.21,119.16,support@health.com,,33101,,yes,,Private,High,False,24/7,English,OH,FC-00109,,11638695.486785762
110,New York,Psychiatric Hospital,Public,1988,61.0,4282,PTSD,Inpatient,2.54,438.33,support@health.com,555 123 4567,33101,,YES,www.mhc.org,None,Medium,Yes,,Mandarin,NE,FC-00110,Dr. Lee,1487366.4190481685
111,California,Telehealth Provider,Private,1977,353.0,2330,PTSD,Outpatient,2.67,169.71,contact@clinic.net,,90210,Y,No,www.mhc.org,Private,Medium,False,24/7,Spanish,CA,FC-00111,John Doe,5497045.667708106
112,New York,Private Clinic,Public,1952,162.0,6611,Schizophrenia,Telehealth,1.18,315.87,info@mhc.org,555 123 4567,60601,,No,https://clinic.com,None,Low,,No,Spanish,NE,FC-00112,Jane Smith,2493725.301410332
113,Illinois,Private Clinic,Public,2019,246.0,228,Depression,Inpatient,2.16,277.6,info@mhc.org,(123) 456-7890,,,,http://healthcare.gov,,Medium,No,Yes,Hindi,IL,FC-00113,John Doe,9461217.341401441
114,New York,Psychiatric Hospital,Private,1976,320.0,9561,Depression,Outpatient,2.81,58.09,support@health.com,555 123 4567,60601,Y,yes,https://clinic.com,Medicare,Medium,True,24/7,Spanish,NE,FC-00114,Jane Smith,8033809.702096785
115,California,Rehabilitation Center,Non-Profit,1951,311.0,3772,PTSD,Counseling,1.47,469.75,info@mhc.org,987-654-3210,60601,Yes,yes,mhc.net,None,Low,True,Yes,"English, Spanish",CA,FC-00115,,15068546.798213808
116,Illinois,Community Health Center,Public,1987,41.0,9893,PTSD,Emergency,2.81,85.25,contact@clinic.net,555 123 4567,33101,Y,YES,mhc.net,Medicare,Medium,Yes,,Spanish,IL,FC-00116,Prof. Adams,944063.5178703944
117,Michigan,Private Clinic,Public,1952,64.0,4865,Schizophrenia,Telehealth,4.41,359.7,contact@clinic.net,987-654-3210,,Yes,yes,www.mhc.org,None,High,True,,"English, Spanish",MI,FC-00117,Dr. Lee,3157820.727674785
118,Pennsylvania,Private Clinic,Public,1965,361.0,4070,Depression,Telehealth,3.33,403.25,info@mhc.org,,10001,,YES,,Medicaid,Medium,No,No,"English, Spanish",PE,FC-00118,Dr. Lee,6576311.825235593
119,Pennsylvania,Rehabilitation Center,Non-Profit,1989,398.0,7645,PTSD,Telehealth,1.32,407.88,contact@clinic.net,555 123 4567,33101,Yes,yes,mhc.net,,Low,False,No,English,PE,FC-00119,John Doe,5616805.0287983725
